,tobinq,log_at,xrdint,roa,leverage,Marketing & Commercialization Cooperation,Marketing & Commercialization Cooperation_sq
count,685.0,685.0,685.0,685.0,685.0,685.0,685.0
mean,2.716350336393795,8.248340570419646,0.17491523708337425,0.0033767421272449896,0.1839685645252449,0.015776219247236774,0.0005520464674773921
std,1.93596242305363,1.723337801180677,0.5219041317453454,0.20256586785600228,0.16157423872918644,0.017424138035358205,0.0011948697689769122
min,0.8796485098718068,4.163186311179507,0.0,-3.1434787261339987,0.0,0.0,0.0
25%,1.423678810086205,6.9949828825931055,0.0084720723775386,-0.028410440189115,0.0715197010356176,0.0,0.0
50%,2.064094010906142,8.193344935980395,0.0510111434023796,0.0376776156286178,0.1317236730342325,0.0112994350282485,0.00012767723195760918
75%,3.2318370466763304,9.33459133431404,0.1740972045613973,0.0911480521363957,0.2378013465575907,0.0240202275600505,0.0005769713320366096
max,11.526709994703978,13.02469542022617,6.671932345212835,0.6115826260609086,0.8376520877265256,0.1219839142091152,0.014880075325776777
